order_in_time,eye_x,eye_y,is_right,is_left
21,281,201,0,1
21,324,198,1,0
22,277,202,0,1
22,322,200,1,0
23,277,202,0,1
23,321,201,1,0
24,276,203,0,1
24,320,202,1,0
25,275,202,0,1
25,321,202,1,0
26,275,202,0,1
26,319,201,1,0
27,273,202,0,1
27,320,201,1,0
28,274,201,0,1
28,319,201,1,0
29,272,202,0,1
29,320,201,1,0
30,272,201,0,1
30,319,201,1,0
31,273,201,0,1
31,319,200,1,0
32,272,200,0,1
32,319,200,1,0
33,271,200,0,1
33,318,200,1,0
34,269,201,0,1
34,318,200,1,0
35,272,200,0,1
35,319,199,1,0
36,271,199,0,1
36,318,199,1,0
37,272,200,0,1
37,318,199,1,0
38,272,199,0,1
38,318,199,1,0
39,270,200,0,1
39,317,199,1,0
40,270,198,0,1
40,314,198,1,0
41,269,200,0,1
41,315,199,1,0
42,267,200,0,1
42,314,199,1,0
43,267,197,0,1
43,312,196,1,0
44,263,191,0,1
44,308,191,1,0
45,255,194,0,1
45,304,196,1,0
46,251,190,0,1
46,302,190,1,0
47,245,181,0,1
47,296,181,1,0
48,243,176,0,1
48,292,177,1,0
49,238,177,0,1
49,285,175,1,0
50,245,176,0,1
50,291,172,1,0
51,266,167,0,1
51,311,166,1,0
52,276,170,0,1
52,323,170,1,0
53,279,176,0,1
53,326,177,1,0
54,275,179,0,1
54,327,179,1,0
55,275,176,0,1
55,324,176,1,0
56,282,177,0,1
56,326,176,1,0
57,277,173,0,1
57,324,172,1,0
58,275,173,0,1
58,322,173,1,0
59,274,176,0,1
59,321,176,1,0
60,278,179,0,1
60,326,180,1,0
61,281,178,0,1
61,330,180,1,0
62,280,182,0,1
62,331,183,1,0
63,278,184,0,1
63,330,185,1,0
64,277,191,0,1
64,325,192,1,0
65,273,188,0,1
65,328,189,1,0
66,270,189,0,1
66,327,191,1,0
67,268,187,0,1
67,324,189,1,0
68,264,186,0,1
68,320,188,1,0
69,259,186,0,1
69,314,189,1,0
70,252,184,0,1
70,306,185,1,0
71,249,178,0,1
71,301,182,1,0
72,251,177,0,1
72,302,182,1,0
73,251,175,0,1
73,299,177,1,0
74,257,172,0,1
74,301,170,1,0
75,263,173,0,1
75,308,169,1,0
76,279,174,0,1
76,324,172,1,0
77,277,175,0,1
77,323,174,1,0
78,275,176,0,1
78,321,174,1,0
79,274,179,0,1
79,320,174,1,0
80,279,179,0,1
80,327,175,1,0
81,282,180,0,1
81,330,175,1,0
82,286,176,0,1
82,335,171,1,0
83,290,172,0,1
83,339,168,1,0
84,287,173,0,1
84,337,169,1,0
85,285,171,0,1
85,333,170,1,0
86,274,173,0,1
86,321,171,1,0
87,270,173,0,1
87,319,171,1,0
88,273,171,0,1
88,321,169,1,0
89,279,176,0,1
89,338,175,1,0
90,265,183,0,1
90,315,183,1,0
91,264,182,0,1
91,315,183,1,0
92,268,181,0,1
92,319,183,1,0
93,268,178,0,1
93,320,182,1,0
94,265,176,0,1
94,317,179,1,0
95,263,176,0,1
95,317,179,1,0
96,256,177,0,1
96,312,179,1,0
97,255,176,0,1
97,312,179,1,0
98,251,177,0,1
98,309,180,1,0
99,248,173,0,1
99,306,174,1,0
100,245,175,0,1
100,304,175,1,0
101,251,176,0,1
101,304,174,1,0
102,263,184,0,1
102,315,179,1,0
103,286,181,0,1
103,335,180,1,0
104,278,175,0,1
104,327,171,1,0
105,272,178,0,1
105,321,172,1,0
106,261,181,0,1
106,311,174,1,0
107,259,182,0,1
107,307,174,1,0
108,263,181,0,1
108,313,175,1,0
109,266,180,0,1
109,316,176,1,0
110,265,181,0,1
110,316,179,1,0
111,263,182,0,1
111,314,181,1,0
112,263,182,0,1
112,315,181,1,0
113,265,182,0,1
113,317,181,1,0
114,266,184,0,1
114,319,183,1,0
115,266,184,0,1
115,316,183,1,0
116,266,183,0,1
116,319,183,1,0
117,269,181,0,1
117,322,182,1,0
118,271,180,0,1
118,324,182,1,0
119,275,183,0,1
119,324,185,1,0
120,274,178,0,1
120,325,181,1,0
121,278,177,0,1
121,330,180,1,0
122,286,175,0,1
122,338,179,1,0
123,285,178,0,1
123,339,182,1,0
124,283,181,0,1
124,337,183,1,0
125,285,180,0,1
125,340,184,1,0
126,282,179,0,1
126,335,182,1,0
127,278,180,0,1
127,332,182,1,0
128,278,178,0,1
128,330,180,1,0
129,277,178,0,1
129,328,180,1,0
130,279,171,0,1
130,329,172,1,0
131,278,172,0,1
131,328,172,1,0
132,293,168,0,1
132,344,171,1,0
133,301,174,0,1
133,354,179,1,0
134,291,176,0,1
134,342,179,1,0
135,283,177,0,1
135,335,180,1,0
136,278,179,0,1
136,330,180,1,0
137,273,179,0,1
137,324,179,1,0
138,269,180,0,1
138,320,179,1,0
139,266,181,0,1
139,317,180,1,0
140,267,180,0,1
140,317,179,1,0
141,267,180,0,1
141,319,180,1,0
142,266,182,0,1
142,318,182,1,0
143,267,182,0,1
143,320,181,1,0
144,265,182,0,1
144,317,180,1,0
145,263,182,0,1
145,314,180,1,0
146,264,186,0,1
146,315,184,1,0
147,265,185,0,1
147,318,184,1,0
148,264,182,0,1
148,316,182,1,0
149,265,184,0,1
149,318,184,1,0
150,269,179,0,1
150,321,180,1,0
151,270,179,0,1
151,321,180,1,0
152,273,180,0,1
152,325,180,1,0
153,274,182,0,1
153,326,183,1,0
154,270,181,0,1
154,323,182,1,0
155,269,183,0,1
155,322,185,1,0
156,268,183,0,1
156,320,184,1,0
157,268,183,0,1
157,321,184,1,0
158,268,183,0,1
158,321,185,1,0
159,267,181,0,1
159,321,183,1,0
160,266,179,0,1
160,321,180,1,0
161,268,178,0,1
161,320,179,1,0
162,267,178,0,1
162,319,180,1,0
163,267,178,0,1
163,319,179,1,0
164,267,178,0,1
164,318,179,1,0
165,268,178,0,1
165,321,179,1,0
166,268,178,0,1
166,321,180,1,0
167,269,178,0,1
167,321,180,1,0
168,267,177,0,1
168,318,179,1,0
169,265,177,0,1
169,317,179,1,0
170,264,178,0,1
170,313,180,1,0
171,262,180,0,1
171,314,180,1,0
172,264,180,0,1
172,316,180,1,0
173,264,180,0,1
173,318,182,1,0
174,263,180,0,1
174,318,182,1,0
175,263,180,0,1
175,317,182,1,0
176,264,181,0,1
176,316,183,1,0
177,264,181,0,1
177,316,183,1,0
178,264,180,0,1
178,318,182,1,0
179,264,181,0,1
179,319,183,1,0
180,265,181,0,1
180,315,181,1,0
181,265,182,0,1
181,321,183,1,0
182,265,183,0,1
182,320,183,1,0
183,266,184,0,1
183,319,183,1,0
184,265,184,0,1
184,318,182,1,0
185,264,183,0,1
185,316,183,1,0
186,264,183,0,1
186,313,182,1,0
187,264,183,0,1
187,316,182,1,0
188,265,184,0,1
188,317,182,1,0
189,265,185,0,1
189,316,183,1,0
190,268,186,0,1
190,318,183,1,0
191,267,185,0,1
191,319,183,1,0
192,268,186,0,1
192,321,186,1,0
193,272,187,0,1
193,323,186,1,0
194,272,185,0,1
194,326,184,1,0
195,272,184,0,1
195,325,184,1,0
196,270,181,0,1
196,322,180,1,0
197,268,178,0,1
197,323,177,1,0
198,271,180,0,1
198,324,178,1,0
199,273,180,0,1
199,324,178,1,0
200,273,177,0,1
200,325,176,1,0
201,273,175,0,1
201,324,174,1,0
202,272,175,0,1
202,322,172,1,0
203,267,170,0,1
203,316,166,1,0
204,270,173,0,1
204,317,166,1,0
205,280,167,0,1
205,326,162,1,0
206,287,161,0,1
206,330,156,1,0
207,282,163,0,1
207,327,158,1,0
208,282,165,0,1
208,327,162,1,0
209,279,168,0,1
209,324,164,1,0
210,274,169,0,1
210,319,166,1,0
211,273,170,0,1
211,317,167,1,0
212,271,174,0,1
212,318,172,1,0
213,272,168,0,1
213,318,170,1,0
214,270,169,0,1
214,319,170,1,0
215,272,173,0,1
215,321,174,1,0
216,273,170,0,1
216,323,172,1,0
217,274,172,0,1
217,325,178,1,0
218,272,179,0,1
218,327,185,1,0
219,271,181,0,1
219,326,186,1,0
220,270,181,0,1
220,324,184,1,0
221,271,180,0,1
221,325,183,1,0
222,271,178,0,1
222,325,182,1,0
223,274,176,0,1
223,327,179,1,0
224,294,175,0,1
224,347,180,1,0
225,291,171,0,1
225,342,176,1,0
226,280,168,0,1
226,327,167,1,0
227,263,170,0,1
227,309,161,1,0
228,258,173,0,1
228,303,164,1,0
229,260,176,0,1
229,306,167,1,0
230,264,180,0,1
230,311,172,1,0
231,263,181,0,1
231,314,175,1,0
232,269,187,0,1
232,319,182,1,0
233,269,185,0,1
233,320,181,1,0
234,270,184,0,1
234,320,180,1,0
235,269,189,0,1
235,318,183,1,0
236,272,192,0,1
236,319,185,1,0
237,275,192,0,1
237,330,192,1,0
238,277,192,0,1
238,330,193,1,0
239,278,193,0,1
239,332,194,1,0
240,282,193,0,1
240,333,195,1,0
241,283,194,0,1
241,336,196,1,0
242,283,199,0,1
242,337,202,1,0
243,280,201,0,1
243,335,204,1,0
244,281,197,0,1
244,336,202,1,0
245,284,194,0,1
245,337,205,1,0
246,286,201,0,1
246,340,209,1,0
247,280,192,0,1
247,334,199,1,0
248,279,184,0,1
248,333,190,1,0
249,279,184,0,1
249,332,190,1,0
250,286,182,0,1
250,340,189,1,0
251,292,167,0,1
251,344,175,1,0
252,290,158,0,1
252,336,163,1,0
253,292,158,0,1
253,338,164,1,0
254,293,164,0,1
254,343,168,1,0
255,295,164,0,1
255,343,170,1,0
256,294,166,0,1
256,344,173,1,0
257,295,170,0,1
257,345,178,1,0
258,293,175,0,1
258,344,182,1,0
259,290,176,0,1
259,341,182,1,0
260,286,178,0,1
260,339,184,1,0
261,285,178,0,1
261,336,183,1,0
262,284,179,0,1
262,335,185,1,0
263,285,181,0,1
263,336,185,1,0
264,283,177,0,1
264,333,182,1,0
265,281,176,0,1
